code,name,lat,long,tambon,amphoe,province,basin,region,left_bank,right_bank,ground_level,rid_critical_level
NAN006,บางกระทุ่ม,16.58053,100.23859,โคกสลุด,บางกระทุ่ม,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,40.044,40.406,30.36,
PIN003,สะพานลานดอกไม้,16.62822,99.43257,ลานดอกไม้,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,84.613,85.393,80.53,
YOM008,บางระกำ,16.70808,100.17178,บางระกำ,บางระกำ,พิษณุโลก,แม่น้ำยม,ภาคเหนือ,40.437,40.81,29.6,
CHI010,มหาชนะชัย,15.52483,104.24972,ฟ้าหยาด,มหาชนะชัย,ยโสธร,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,121.98,121.98,109.665,
YOM001,ปง,19.14830,100.27760,ปง,ปง,พะเยา,แม่น้ำยม,ภาคเหนือ,293.426,293.084,287.24,
WAN003,เถิน,17.75169,99.23061,แม่ถอด,เถิน,ลำปาง,แม่น้ำวัง,ภาคเหนือ,180.119,178.689,171.42,
YOM002,เชียงม่วน,18.94623,100.25925,สระ,เชียงม่วน,พะเยา,แม่น้ำยม,ภาคเหนือ,267.472,267.109,256.76,
PIN001,บ้านตาก,17.04065,99.06620,ตากตก,บ้านตาก,ตาก,แม่น้ำปิง,ภาคเหนือ,121.6,121.6,118.19,
YOM004,เด่นชัย,18.020961267422265,100.0588284834671,เด่นชัย,เด่นชัย,แพร่,แม่น้ำยม,ภาคเหนือ,147.259,147.708,135.95,
TPI003,พุนพิน 3,8.98699,99.21124,ท่าสะท้อน,พุนพิน,สุราษฎร์ธานี,แม่น้ำตาปี,ภาคใต้,2.858,3.174,-3.425,
CHI006,สะพานท่าพระ,16.32589,102.78593,ท่าพระ,เมืองขอนแก่น,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,153.212,153.812,143.81,
MDC006,คลองท่าดี,8.39958,99.83317,กำแพงเซา,เมืองนครศรีธรรมราช,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออก,ภาคใต้,22.18,22.18,18,
NPI002,นบพิตำ,8.72007,99.79544,สระแก้ว,ท่าศาลา,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออก,ภาคใต้,23.109,24.18,13.448,
YOM006,สวรรคโลก,17.201009586447355,99.86329341335295,ท่าทอง,สวรรคโลก,สุโขทัย,แม่น้ำยม,ภาคเหนือ,57.646,57.924,46.35,
CHI003,เมืองชัยภูมิ,15.68159,102.00953,บ้านค่าย,เมืองชัยภูมิ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,183.769,184.331,176.74,
WAN001,สามเงา,17.26062,99.07796,วังหมัน,สามเงา,ตาก,แม่น้ำวัง,ภาคเหนือ,142.879,141.858,131.5,
CHI011,เขื่องใน,15.32273,104.54650,เขื่องใน,เขื่องใน,อุบลราชธานี,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,116.881,116.339,105.23,
PAT002,เมืองยะลา,6.675272720999049,101.28640936637885,ตาเซะ,เมืองยะลา,ยะลา,แม่น้ำปัตตานี,ภาคใต้,13.85,13.85,1.74,
SVI001,สวี 1,10.231190048332113,99.09837312135698,นาโพธิ์,สวี,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,3.598,2.702,-3.542,
MDC002,เขาสก,8.88086,98.8529,พังกาญจน์,พนม,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันตก,ภาคใต้,,,,
MUN002,เฉลิมพระเกียรติ,14.96809,102.23791,หนองยาง,เฉลิมพระเกียรติ,นครราชสีมา,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,168.933,168.099,160.66,
PIN002,เมืองตาก,16.78656,99.18398,ประดาง,วังเจ้า,ตาก,แม่น้ำปิง,ภาคเหนือ,101.829,104.266,93.43,
SLA002,คลองหอยโข่ง,6.93138,100.44007,ทุ่งลาน,คลองหอยโข่ง,สงขลา,ทะเลสาบสงขลา,ภาคใต้,8.056,8.599,-1.601,
YOM009,โพธิ์ประทับช้าง,16.31081,100.27177,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง,พิจิตร,แม่น้ำยม,ภาคเหนือ,33.627,32.5,26,33
MUN006,วารินชำราบ,15.20560,104.81390,คำน้ำแซบ,วารินชำราบ,อุบลราชธานี,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,117.35,115.954,102.73,
YOM003,หนองม่วงไข่,18.26593471765355,100.17696691038134,น้ำรัด,หนองม่วงไข่,แพร่,แม่น้ำยม,ภาคเหนือ,158.977,157,151.7,
PIN004,ขาณุวรลักษบุรี,16.06477,99.86028,ป่าพุทรา,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,45.331,43.922,38.988,
NYK001,สะพานวังแก่ง,14.364870,101.090275,เขาเพิ่ม,บ้านนา,นครนายก,แม่น้ำบางปะกง,ภาคตะวันออก,,,,
NYK014,สะพานโยธกา,13.97483,101.14321,บางเตย,บ้านสร้าง,ปราจีนบุรี,แม่น้ำบางปะกง,ภาคตะวันออก,,,,
